Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[0.8, 0.4, 0.9]",88.3728,2,101,21.555977716796548,-59.763494000000215,-82.09000000000002,1.0,21.555977716796548
"[0.8, 0.4, 0.99]",80.6154,2,101,23.686404982287478,-52.778208000000056,-84.65999999999998,1.0,23.686404982287478
"[0.8, 0.4, 1]",80.5278,2,101,23.99368843387878,-53.03237800000006,-83.9,1.0,23.99368843387878
"[1, 0.01, 0.1]",97.797,2,101,12.852325669940878,-72.94470200000006,-89.1,1.0,12.852325669940878
"[1, 0.01, 0.5]",97.7196,2,101,12.872604709266273,-72.82937600000007,-92.70999999999998,1.0,12.872604709266273
"[1, 0.01, 0.9]",97.6054,2,101,13.106266136127795,-72.81791400000016,-88.97999999999999,1.0,13.106266136127795
"[1, 0.01, 0.99]",97.6098,2,101,13.205097331888354,-72.81840800000005,-89.93999999999998,1.0,13.205097331888354
"[1, 0.01, 1]",97.4474,2,101,13.423626780254699,-72.65929600000004,-90.25000000000001,1.0,13.423626780254699
"[1, 0.05, 0.1]",97.1136,2,101,13.978247293887236,-72.41880399999988,-90.87,1.0,13.978247293887236
"[1, 0.05, 0.5]",97.4046,2,101,13.422254698179161,-72.47503799999998,-90.25,1.0,13.422254698179161
"[1, 0.05, 0.9]",97.401,2,101,13.375607643376876,-72.55839799999977,-90.38000000000001,1.0,13.375607643376876
"[1, 0.05, 0.99]",97.9266,2,101,12.560350769212027,-73.09273800000003,-88.72999999999999,1.0,12.560350769212027
"[1, 0.05, 1]",98.0204,2,101,12.313729526910862,-73.14358400000017,-91.06999999999998,1.0,12.313729526910862
"[1, 0.1, 0.1]",97.416,2,101,13.397941784365816,-72.54533399999993,-89.15,1.0,13.397941784365816
"[1, 0.1, 0.5]",97.5678,2,101,13.303168060579615,-72.78300800000017,-91.12,1.0,13.303168060579615
"[1, 0.1, 0.9]",97.51,2,101,13.334057584366308,-72.74605600000015,-90.44,1.0,13.334057584366308
"[1, 0.1, 0.99]",97.6594,2,101,13.06836139876556,-72.87492799999978,-91.09999999999997,1.0,13.06836139876556
"[1, 0.1, 1]",97.5728,2,101,13.18555051377508,-72.74796600000008,-90.97999999999998,1.0,13.18555051377508
"[1, 0.2, 0.1]",97.704,2,101,12.869894209150088,-72.81497400000002,-90.16999999999999,1.0,12.869894209150088
"[1, 0.2, 0.5]",97.4258,2,101,13.509682284372381,-72.58571999999981,-90.14000000000001,1.0,13.509682284372381
"[1, 0.2, 0.9]",97.7422,2,101,12.884538726226777,-72.89679999999981,-91.05,1.0,12.884538726226777
"[1, 0.2, 0.99]",97.6606,2,101,13.026922846091614,-72.84558800000002,-93.17999999999998,1.0,13.026922846091614
"[1, 0.2, 1]",97.5352,2,101,13.214480222411842,-72.68711400000007,-88.77999999999999,1.0,13.214480222411842
"[1, 0.4, 0.1]",97.7668,3,101,12.94912414684229,-73.03777000000022,-91.84,0.99,12.94912414684229
"[1, 0.4, 0.5]",97.7998,2,101,12.804406298126654,-72.96793200000006,-91.27,1.0,12.804406298126654
"[1, 0.4, 0.9]",97.5118,2,101,13.330468391290767,-72.795952,-91.04999999999998,1.0,13.330468391290767
"[1, 0.4, 0.99]",97.455,2,101,13.508788185816293,-72.68732000000027,-92.87000000000002,1.0,13.508788185816293
"[1, 0.4, 1]",97.7032,2,101,13.001489123076615,-72.88660199999997,-89.45999999999997,1.0,13.001489123076615
