Params,Epochs,EMin,EMax,EStdev,Rewards,RMin,RMax,RStdev
"[0.6, 0.1, 0.9]",59.925,2,101,24.912165154854854,-32.635575999999965,-76.0,1.0,24.912165154854854
"[0.6, 0.1, 0.99]",52.5488,2,101,20.665985230440985,-26.224547999999963,-76.06,1.0,20.665985230440985
"[0.6, 0.1, 1]",52.4732,2,101,20.092379516300436,-26.012626000000054,-76.31000000000002,1.0,20.092379516300436
"[0.6, 0.2, 0.1]",94.5308,2,101,15.954398715136723,-60.48454600000037,-77.52,1.0,15.954398715136723
"[0.6, 0.2, 0.5]",88.768,2,101,20.89414080987923,-56.112675999999894,-78.97999999999999,1.0,20.89414080987923
"[0.6, 0.2, 0.9]",64.9708,2,101,26.076200754908257,-36.86862199999994,-77.64,1.0,26.076200754908257
"[0.6, 0.2, 0.99]",52.141,2,101,20.51820338100685,-25.886694,-76.78999999999999,1.0,20.51820338100685
"[0.6, 0.2, 1]",51.8212,2,101,19.694263871699434,-25.41845800000003,-77.71000000000001,1.0,19.694263871699434
"[0.6, 0.4, 0.1]",95.5326,2,101,14.731199500105832,-61.22073199999996,-76.94000000000003,1.0,14.731199500105832
"[0.6, 0.4, 0.5]",90.8026,2,101,19.35088445621211,-57.726276000000105,-78.78,1.0,19.35088445621211
"[0.6, 0.4, 0.9]",72.5248,2,101,26.413277789731122,-43.33859600000008,-79.28,1.0,26.413277789731122
"[0.6, 0.4, 0.99]",55.1692,2,101,21.97953492165042,-28.40046800000003,-77.52000000000001,1.0,21.97953492165042
"[0.6, 0.4, 1]",53.7176,2,101,21.02569959822034,-27.156046000000053,-77.87,1.0,21.02569959822034
"[0.8, 0.01, 0.1]",95.009,2,101,16.045568476703593,-65.39684200000012,-84.31999999999998,1.0,16.045568476703593
"[0.8, 0.01, 0.5]",90.6128,2,101,20.30521106609295,-61.774552,-83.16000000000003,1.0,20.30521106609295
"[0.8, 0.01, 0.9]",86.1448,2,101,22.55376078368469,-57.880131999999904,-84.05999999999999,1.0,22.55376078368469
"[0.8, 0.01, 0.99]",84.2564,2,101,23.438253889261365,-56.28845999999968,-83.49,1.0,23.438253889261365
"[0.8, 0.01, 1]",85.603,2,101,22.7315239670449,-57.38600600000005,-81.43999999999998,1.0,22.7315239670449
"[0.8, 0.05, 0.1]",94.8558,2,101,16.300104094695087,-65.36770200000001,-84.46,1.0,16.300104094695087
"[0.8, 0.05, 0.5]",90.5844,2,101,20.423095102103254,-61.885966,-82.96000000000001,1.0,20.423095102103254
"[0.8, 0.05, 0.9]",81.4184,2,101,23.831870645547177,-53.454160000000094,-84.67999999999998,1.0,23.831870645547177
"[0.8, 0.05, 0.99]",80.065,2,101,24.063461907368886,-52.20818000000001,-85.24,1.0,24.063461907368886
"[0.8, 0.05, 1]",80.2652,2,101,23.724054842830665,-52.21530000000004,-82.53,1.0,23.724054842830665
"[0.8, 0.1, 0.1]",95.8314,2,101,15.23442361163138,-66.33261799999997,-83.38999999999999,1.0,15.23442361163138
"[0.8, 0.1, 0.5]",92.9298,2,101,18.45200912192174,-63.85126199999989,-83.44999999999999,1.0,18.45200912192174
"[0.8, 0.1, 0.9]",81.9152,2,101,23.9317140848831,-53.94659600000024,-81.72999999999999,1.0,23.9317140848831
"[0.8, 0.1, 0.99]",79.5094,2,101,24.016137112194254,-51.544762000000205,-82.0,1.0,24.016137112194254
